text,label,text_clean
You Can Smell Hillary’s Fear,0,smell hillary fear
Watch The Exact Moment Paul Ryan Committed Political Suicide At A Trump Rally (VIDEO),0,watch exact moment paul ryan commit political suicide trump rally video
Kerry to go to Paris in gesture of sympathy,1,kerry go paris gesture sympathy
Bernie supporters on Twitter erupt in anger against the DNC: 'We tried to warn you!',0,bernie supporter twitter erupt anger dnc try warn
The Battle of New York: Why This Primary Matters,1,battle new york primary matter
"Tehran, USA",0,tehran usa
Girl Horrified At What She Watches Boyfriend Do After He Left FaceTime On,0,girl horrify watch boyfriend leave facetime
‘Britain’s Schindler’ Dies at 106,1,britain schindler die
Fact check: Trump and Clinton at the 'commander-in-chief' forum,1,fact check trump clinton commander chief forum
Iran reportedly makes new push for uranium concessions in nuclear talks,1,iran reportedly make new push uranium concession nuclear talk
"With all three Clintons in Iowa, a glimpse at the fire that has eluded Hillary Clinton’s campaign",1,three clinton iowa glimpse fire elude hillary clinton campaign
Donald Trump’s Shockingly Weak Delegate Game Somehow Got Even Worse,1,donald trump shockingly weak delegate game somehow get even bad
"Strong Solar Storm, Tech Risks Today | S0 News Oct.26.2016 [VIDEO]",0,strong solar storm tech risk today s0 news oct video
10 Ways America Is Preparing for World War 3,0,ways america prepare world war
"Trump takes on Cruz, but lightly",1,trump take cruz lightly
How women lead differently,1,woman lead differently
Shocking! Michele Obama & Hillary Caught Glamorizing Date Rape Promoters,0,shocking michele obama hillary catch glamorize date rape promoter
Hillary Clinton in HUGE Trouble After America Noticed SICK Thing Hidden in this Picture... * LIBERTY WRITERS NEWS,0,hillary clinton huge trouble america notice sick thing hide picture liberty writer news
What's in that Iran bill that Obama doesn't like?,1,iran bill obama not like
The 1 chart that explains everything you need to know about partisanship in America,1,chart explain everything need know partisanship america
The slippery slope to Trump’s proposed ban on Muslims,1,slippery slope trump propose ban muslim
Episode #160 – SUNDAY WIRE: ‘Hail to the Deplorables’ with special guest Randy J,0,episode sunday wire hail deplorable special guest randy
Hillary Clinton Makes A Bipartisan Appeal on Staten Island,1,hillary clinton make bipartisan appeal staten island
New Senate majority leader’s main goal for GOP: Don’t be scary,1,new senate majority leader main goal gop don scary
‘Inferno’ and the Overpopulation Myth,0,inferno overpopulation myth
Anti-Trump forces seek last-ditch delegate revolt,1,anti trump force seek last ditch delegate revolt
Sanders Trounces Clinton in W. Va. -- But Will It Make a Difference?,1,sanders trounce clinton va make difference
Donald Trump Is Changing His Campaign Slogan to Prove He’s Not Racist,1,donald trump change campaign slogan prove not racist
Pure chaos: Donald Trump’s campaign management offers a glimpse into his governing style (spoiler alert: it’s terrible),1,pure chaos donald trump campaign management offer glimpse govern style spoiler alert terrible
"Syrian War Report – November 1, 2016: Syrian Military Deploys Advanced T-90 Battle Tanks to Aleppo",0,syrian war report november syrian military deploy advanced battle tank aleppo
GOP insiders: Carly crushed it,1,gop insider carly crush
Jeffrey Sewell et al. : Metabiology face to face with Artificial Intelligence [VIDEO],0,jeffrey sewell et al metabiology face face artificial intelligence video
Why It’s Necessary To Relax Into A Stretch,0,necessary relax stretch
"Brexit Encourages UK to Trade With Non-EU States, Including Russia",0,brexit encourage uk trade non eu states include russia
"2016 interview with Socrates: Another day of Life in the Empire! Are we near an endgame, or fools to ever ‘hope for change’? (6 of ?)",0,interview socrate another day life empire near endgame fools ever hope change
Mike Pence Drapes Shawl Over Immodest Lady Justice Statue - The Onion - America's Finest News Source,0,mike pence drape shawl immodest lady justice statue onion america fine news source
First Ever Hindu Woman Elected into Congress,0,first ever hindu woman elect congress
Donald Groped Hillary in 2005! Trump and Weiner Sext Each Other!,0,donald grope hillary trump weiner sext
Ex-Assistant FBI Director: Clintons Are a Crime Family,0,ex assistant fbi director clinton crime family
Hillary Wants Aggressively Interventionist Foreign Policy,0,hillary want aggressively interventionist foreign policy
Both parties want to craft populist messages for 2016,1,party want craft populist message
First Take: Wall Street bids goodbye to June hike,1,first take wall street bid goodbye june hike
Real Disclosure! Secret Alien Base Found In Moon's Tycho Crater,0,real disclosure secret alien base find moon tycho crater
Homeless Woman Protects Trump’s Walk of Fame Star From Violent Leftists,0,homeless woman protect trump walk fame star violent leftist
"With 3:20 a.m. tweet storm Saturday, Clinton continues to mock Trump’s Friday ‘meltdown’",1,tweet storm saturday clinton continue mock trump friday meltdown
220 ‘Significant’ Pipeline Spills Already This Year Exposes Troubling Safety Record,0,significant pipeline spill already year expose troubling safety record
Obama makes the right call to tough it out in Afghanistan,1,obama make right call tough afghanistan
Senate race rankings: Dems attack as GOP lays swing-state groundwork,1,senate race ranking dems attack gop lay swing state groundwork
‘He didn’t know the boy didn’t want to be raped’ – court throws out Muslim migrant child sex charge and Germans are in shock,0,didn know boy didn want rap court throw muslim migrant child sex charge german shock
Pieczenik “Rogue FBI Agents and Wikileaks are Spearheading a Movement to Stop the Clintons from Stealing the White House” – TruthFeed,0,pieczenik rogue fbi agent wikileak spearhead movement stop clinton steal white house truthfeed
American politics has reached peak polarization,1,american politic reach peak polarization
Anti-Muhammad cartoon contest: Free speech or deliberately provocative? (+video),1,anti muhammad cartoon contest free speech deliberately provocative video
"3 Effects of Substance Abuse on Individual, Family and Community",0,effect substance abuse individual family community
Tree Shaped Vertical Farms That Grow 24 Acres Of Urban Crops,0,tree shape vertical farm grow acre urban crop
New Comment Features have been Added,0,new comment feature add
World's newspapers react to 'Hebdo' attack,1,world newspaper react hebdo attack
Ying and Yang (the Gold and Silver Set-Up),0,ying yang gold silver set
"Closed primaries, 'warped' democracy?",1,close primary warp democracy
Police Turn In Badges Rather Than Incite Violence Against Standing Rock Protestors,0,police turn badge rather incite violence stand rock protestor
Donald Trump: Hillary Clinton has 'caused tremendous death',1,donald trump hillary clinton cause tremendous death
Detroit women’s Halloween decorations depict ‘real-life horrors’ … such as shootings police by police,0,detroit women halloween decoration depict real life horror shooting police police
Biden makes another surprise political stop,1,biden make another surprise political stop
"Hillary Clinton's declining favorability numbers, in context",1,hillary clinton decline favorability number context
Comment on Quid Pro Quo? Wikileaks Email Reveals Clinton Campaign Eyeing Paul Ryan’s Relative for Supreme Court by lenore.lee,0,comment quid pro quo wikileak email reveal clinton campaign eye paul ryan relative supreme court lenore lee
Hillary Clinton: The criminal investigation keeps moving forward,1,hillary clinton criminal investigation keep move forward
Rubio’s parting shot at Trump,1,rubio parting shoot trump
Loretta Lynch becomes first African-American woman AG.,1,loretta lynch become first african american woman ag
Why it's funny Republicans are upset with Facebook: Column,1,funny republicans upset facebook column
FBI checking if Orlando shooter's wife knew attack plan but didn't warn police,1,fbi check orlando shooter wife know attack plan not warn police
Is google and YouTube in the Hillary's purse?,0,google youtube hillary purse
Handicapping the Hispanic vote for 2016 GOPers,1,handicap hispanic vote goper
Truth Will Out Radio: The Laconia Incident,0,truth radio laconia incident
GOP establishment nightmare? Ted Cruz vs. Donald Trump,1,gop establishment nightmare ted cruz vs donald trump
Bernie Sanders lost poor voters in South Carolina by a big margin — a problem for his political revolution,1,bernie sander lose poor voter south carolina big margin problem political revolution
Should I Get Botox?,0,get botox
Jeb Bush Picks Up Endorsement From Lindsey Graham,1,jeb bush pick endorsement lindsey graham
"2016 Republican race enters a new, volatile phase",1,republican race enter new volatile phase
"‘Hands up, don’t shoot’ was built on a lie",1,hand don shoot build lie
Lavrov and Kerry discuss Syrian settlement,0,lavrov kerry discuss syrian settlement
BREAKING : DOJ Says They Will “HELP” Review the 650K Emails – TruthFeed,0,break doj say help review 650k email truthfeed
Bernie Sanders' call for ouster of two convention co-chairs rejected,1,bernie sander call ouster two convention co chair reject
Five Reasons the New York Democratic Primary Felt Competitive,1,five reason new york democratic primary feel competitive
"To get around Congress, Obama turns to city halls",1,get around congress obama turn city hall
Celebrity Deathmatch: Darkmoon Sages Make Their Final Predictions on US Election,0,celebrity deathmatch darkmoon sage make final prediction we election
John Kerry: ISIS responsible for genocide,1,john kerry isis responsible genocide
Mitt Romney's Re-Invention As Anti-Poverty Warrior,1,mitt romney invention anti poverty warrior
King: Fill the Supreme Court vacancy,1,king fill supreme court vacancy
"Ted Cruz is toast: It’s not just that he won’t be president — his days in the Senate are numbered, too",1,ted cruz toast not win president days senate number
Obama’s speech in Selma was an answer to those who question his love for America,1,obama speech selma answer question love america
Where Does Bernie Sanders Go From Here?,1,bernie sander go
Exclusive: GOP campaigns plot revolt against RNC,1,exclusive gop campaign plot revolt rnc
Revelation Unleashed: Unlocking The Mysteries Of The Bible’s Most Mysterious Book,0,revelation unleash unlocking mystery bible mysterious book
Silent Counter-Coup by 17 Intel Agencies To Stop Crooked Clintons [Video],0,silent counter coup intel agency stop crooked clinton video
"Why Hillary Clinton, not Bernie Sanders, 'won' town hall",1,hillary clinton not bernie sander win town hall
French police hunt two brothers accused of Charlie Hebdo terror attack,1,french police hunt two brother accuse charlie hebdo terror attack
"The Mandela Effect was made by one overlooked 33 year old man, an ascended master (video and proof)",0,mandela effect make one overlook year old man ascend master video proof
CNN: One voter can make a difference by voting repeatedly,0,cnn one voter make difference vote repeatedly
Give Social Security recipients a CEO-style raise,1,give social security recipient ceo style raise
"Fireworks erupt between Trump and Bush, Rubio and Cruz at GOP debate",1,firework erupt trump bush rubio cruz gop debate
"Obama, sounding like his critics, admits no 'complete strategy' for Iraq",1,obama sound like critic admit no complete strategy iraq
How Ted Cruz Became Ted Cruz,1,ted cruz become ted cruz
Newly Approved GM Potatoes Have Potential to Silence Human Genes,0,newly approve gm potato potential silence human gene
Accord reached after Sanders sues the DNC over suspended access to critical voter list,1,accord reach sander sue dnc suspend access critical voter list
Why the latest Patriot Act reform won’t be enough to rein in the NSA,1,late patriot act reform win enough rein nsa
"FBI expands probe of Clinton emails, launches independent classification review",1,fbi expand probe clinton email launch independent classification review
Where is Gary Johnson?,1,gary johnson
"The Arcturian Group by Marilyn Raffaele October 23, 2016 [VIDEO]",0,arcturian group marilyn raffaele october video
Nuclear weapons question,0,nuclear weapon question
Kevin MacDonald celebrates Trump’s Amazing Victory,0,kevin macdonald celebrate trump amazing victory
"The amazing AquTru water filter, version 2.0, is now in stock: I've snagged 500 units for Natural News readers at a deep discount",0,amazing aqutru water filter version stock snag unit natural news reader deep discount
What happens if Clinton drops out?,1,happen clinton drop
Brothers ID'd as suicide bombers in Belgium,1,brother suicide bomber belgium
Glorifying Violence,0,glorify violence
Russia may run out of patience and respond to USA's rudeness,0,russia may run patience respond usa rudeness
The David Duke Show: Hillary’s Treason and Why Trump & Duke Will Win,0,david duke show hillary treason trump duke win
Don't blame all immigrants for San Francisco shooting,1,not blame immigrant san francisco shooting
Netanyahu: I Won't Allow Israel to Be 'Submerged' by Refugees,1,netanyahu not allow israel submerge refugee
APOCALYPSE NOW: Trump Voters Warn Of ‘Revolution’ If Clinton Wins,0,apocalypse trump voter warn revolution clinton win
"Geo-Engineering Unlikely to Work, Conservation Group Says",0,geo engineering unlikely work conservation group say
3 Questions Ahead Of Tonight's Democratic Debate,1,question ahead tonight democratic debate
Obama's terror strategy is failing: US must heed lessons of 9/11,1,obama terror strategy fail we must heed lesson
“Bernie needs to be ground to a pulp.” Leaked Email to John Podesta in February,0,bernie need ground pulp leak email john podesta february
Selma 50 years on: John Lewis's recalls the march,1,selma year john lewis recall march
“We Were Long Overdue A Presidential Assassination Anyway”,0,long overdue presidential assassination anyway
"Flip-flop: Vox warns of serious risk of Election Day violence, and not the good kind either",0,flip flop vox warn serious risk election day violence not good kind either
Third-party presidential candidates fight for 15% in polls – and a spot in debates,1,third party presidential candidate fight poll spot debate
"Bush, Rubio and Kasich eye one another in the shadow of Trump",1,bush rubio kasich eye one another shadow trump
Comey Must Explain Why He Advised Obama Not to Publicly Accuse Russia of Hacking Democrats,0,comey must explain advise obama not publicly accuse russia hack democrat
"Putin Congratulates Trump, Says Russia Is Ready To Restore Relations With The US",0,putin congratulate trump say russia ready restore relation we
Monsieur Malbrough est Mort | New Eastern Outlook,0,monsieur malbrough est mort new eastern outlook
Conspiracy theories swirl around the death of Antonin Scalia,1,conspiracy theory swirl around death antonin scalia
"What is one more election thread, ehhh?",0,one election thread ehhh
McCain: Trump doesn't understand Syria,1,mccain trump not understand syria
Trump manager says 'undercover voters' will deliver win in US election,1,trump manager say undercover voter deliver win us election
Re: WikiLeaks: ‘How is what Bill Clinton did different from what Bill Cosby did?’ #PodestaEmails20,0,wikileak bill clinton different bill cosby podestaemails20
"REPORT: Megyn Trashes Trump, Newt… Then Murdoch Announces Replacements Are Available",0,report megyn trash trump newt murdoch announce replacement available
Suspect captured in ‘ambush-style’ killings of two Iowa cops,0,suspect capture ambush style killing two iowa cop
